"Source:","/home/gibi500/Vives/projectWeek/pcb/ControlleBord/ControlleBord.kicad_sch"
"Date:","Thu 02 Mar 2023 10:11:45 AM CET"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","PARTREV","Package","SNAPEDA_PN","STANDARD"
"","","C1","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"","","C2","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C3","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C4","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C5","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C6","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C7","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C8","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C10","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C11","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"","","C12","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C13","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C14","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C15","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C16","2.2μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C17","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C18","33μF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"","","C19","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C20","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C21","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C22","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C23","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C24","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C25","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C26","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","CR1","SS34-E3/57T","2023-02-22_21-35-58:SS34-E3{slash}57T","footprints1.0:SS34-E3&slash_57T","","","","","","","","",""
"","","D1","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","D2","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","D3","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","J4","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J5","ZX62D-B-5P8","ZX62D-B-5P8:ZX62D-B-5P8","Kicad:HRS_ZX62D-B-5P8","","","","Hirose Electric","","N/A","","","Manufacturer Recommendations"
"","","L1","6.8μH","Device:L","Inductor_THT:L_Toroid_Vertical_L26.7mm_W14.0mm_P10.16mm_Pulse_D","~","","","","","","","",""
"","","L2","33μH","Device:L","Inductor_SMD:L_Bourns_SRN6045TA","~","","","","","","","",""
"","","L3","49μH","Device:L","Inductor_THT:L_Toroid_Vertical_L21.6mm_W9.1mm_P8.40mm_Bourns_5700","~","","","","","","","",""
"","","Q1","IRLZ34N","Transistor_FET:IRLZ34N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720","","","","","","","",""
"","","Q2","FQP27P06","Transistor_FET:FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF","","","","","","","",""
"","","Q3","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","","",""
"","","Q4","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","","",""
"","","R1","51k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R2","47k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R3","18k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R4","82k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R5","9.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R6","R_Shunt","Device:R_Shunt","Package_TO_SOT_THT:TO-220-2_Vertical","~","","","","","","","",""
"","","R7","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R8","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R9","150k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R10","R_Shunt","Device:R_Shunt","Package_TO_SOT_THT:TO-220-2_Vertical","~","","","","","","","",""
"","","R11","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R12","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R13","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R14","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R15","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R16","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R17","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R18","22.1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R19","47.5K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R20","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R21","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R22","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R23","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","U1","PAM2421AECADJR","PAM2421AECADJR:PAM2421AECADJR","Kicad:SOIC127P600X175-8N","","","","","Diodes Inc.","","SOIC127P600X175-8N","",""
"","","U2","L6981C33DR","2023-02-22_21-42-58:L6981C33DR","footprints2.0:L6981C33DR","","","","","","","","",""
"","","U3","INA219AxD","Sensor_Energy:INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","","","","",""
"","","U4","FAN32SV10MMPX","homeMade:FAN32SV10MMPX","footprints1.0:FAN23SV10M","","","","","","","","",""
"","","U5","INA219AxD","Sensor_Energy:INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","","","","",""
"","","U6","MCP4531-103E/MS","MCP4531-103E_MS:MCP4531-103E{slash}MS","Kicad:SOP65P490X110-8N","","","","","","","","",""
"","","U7","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"","","U8","ESP32-S3-WROOM-2-N32R8V","ESP32-S3-WROOM-2-N32R8V:ESP32-S3-WROOM-2-N32R8V","Kicad:XCVR_ESP32-S3-WROOM-2-N32R8V","","Espressif","3.25mm","","","1.0","","ESP32-S3-WROOM-2-N32R8V","Manufacturer Recommendations"
"","","U9","PTS645SM43SMTR92LFS","2023-03-02_01-59-27:PTS645SM43SMTR92LFS","SWITCH_43SMTR92LFS","","","","","","","","",""
"","","U10","PTS645SM43SMTR92LFS","2023-03-02_01-59-27:PTS645SM43SMTR92LFS","SWITCH_43SMTR92LFS","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","PARTREV","Package","SNAPEDA_PN","STANDARD"
"1","2","C1, C11","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"2","1","C2","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"3","4","C3, C4, C10, C24","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"4","1","C5","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"5","5","C6, C7, C13, C17, C23","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"6","1","C8","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"7","1","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"8","2","C12, C22","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"9","1","C14","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"10","5","C15, C19, C21, C25, C26","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"11","1","C16","2.2μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"12","1","C18","33μF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"13","1","C20","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"14","1","CR1","SS34-E3/57T","2023-02-22_21-35-58:SS34-E3{slash}57T","footprints1.0:SS34-E3&slash_57T","","","","","","","","",""
"15","3","D1, D2, D3","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"16","3","J1, J2, J4","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"17","1","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"18","1","J5","ZX62D-B-5P8","ZX62D-B-5P8:ZX62D-B-5P8","Kicad:HRS_ZX62D-B-5P8","","","","Hirose Electric","","N/A","","","Manufacturer Recommendations"
"19","1","L1","6.8μH","Device:L","Inductor_THT:L_Toroid_Vertical_L26.7mm_W14.0mm_P10.16mm_Pulse_D","~","","","","","","","",""
"20","1","L2","33μH","Device:L","Inductor_SMD:L_Bourns_SRN6045TA","~","","","","","","","",""
"21","1","L3","49μH","Device:L","Inductor_THT:L_Toroid_Vertical_L21.6mm_W9.1mm_P8.40mm_Bourns_5700","~","","","","","","","",""
"22","1","Q1","IRLZ34N","Transistor_FET:IRLZ34N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720","","","","","","","",""
"23","1","Q2","FQP27P06","Transistor_FET:FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF","","","","","","","",""
"24","2","Q3, Q4","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","","",""
"25","1","R1","51k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"26","1","R2","47k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"27","1","R3","18k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"28","1","R4","82k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"29","1","R5","9.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"30","2","R6, R10","R_Shunt","Device:R_Shunt","Package_TO_SOT_THT:TO-220-2_Vertical","~","","","","","","","",""
"31","5","R7, R8, R11, R12, R13","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"32","1","R9","150k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"33","1","R14","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"34","1","R15","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"35","5","R16, R17, R20, R22, R23","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"36","1","R18","22.1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"37","1","R19","47.5K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"38","1","R21","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"39","1","U1","PAM2421AECADJR","PAM2421AECADJR:PAM2421AECADJR","Kicad:SOIC127P600X175-8N","","","","","Diodes Inc.","","SOIC127P600X175-8N","",""
"40","1","U2","L6981C33DR","2023-02-22_21-42-58:L6981C33DR","footprints2.0:L6981C33DR","","","","","","","","",""
"41","2","U3, U5","INA219AxD","Sensor_Energy:INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","","","","",""
"42","1","U4","FAN32SV10MMPX","homeMade:FAN32SV10MMPX","footprints1.0:FAN23SV10M","","","","","","","","",""
"43","1","U6","MCP4531-103E/MS","MCP4531-103E_MS:MCP4531-103E{slash}MS","Kicad:SOP65P490X110-8N","","","","","","","","",""
"44","1","U7","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"45","1","U8","ESP32-S3-WROOM-2-N32R8V","ESP32-S3-WROOM-2-N32R8V:ESP32-S3-WROOM-2-N32R8V","Kicad:XCVR_ESP32-S3-WROOM-2-N32R8V","","Espressif","3.25mm","","","1.0","","ESP32-S3-WROOM-2-N32R8V","Manufacturer Recommendations"
"46","2","U9, U10","PTS645SM43SMTR92LFS","2023-03-02_01-59-27:PTS645SM43SMTR92LFS","SWITCH_43SMTR92LFS","","","","","","","","",""
